"party_riding_name"
"Abbotsford Conservative Association"
"Abbotsford Federal Liberal Association"
"Abbotsford Federal NDP Riding Association"
"Abitibi--Baie-James--Nunavik--Eeyou Conservative Association"
"Acadie--Bathurst Conservative Association"
"Acadie--Bathurst Federal Liberal Association"
"Acadie--Bathurst Federal NDP Riding Association"
"Ahuntsic Federal Liberal Association"
"Ahuntsic Federal NDP Riding Association"
"Ajax--Pickering Conservative Association"
"Ajax--Pickering Federal Liberal Association"
"Ajax--Pickering Federal NDP Riding Association"
"Alfred-Pellan Federal Liberal Association"
"Alfred-Pellan Federal NDP Riding Association"
"Algoma--Manitoulin--Kapuskasing Conservative Association"
"Algoma--Manitoulin--Kapuskasing Federal Liberal Association"
"Algoma--Manitoulin--Kapuskasing Federal NDP Riding Association"
"Algoma--Manitoulin--Kapuskasing Green Party Federal Electoral District Association"
"Ancaster--Dundas--Flamborough--Westdale Conservative Association"
"Ancaster--Dundas--Flamborough--Westdale Federal Green Party Association"
"Ancaster--Dundas--Flamborough--Westdale Federal Liberal Association"
"Ancaster--Dundas--Flamborough--Westdale Federal NDP Riding Association"
"Association Bloc Québécois Louis-Saint-Laurent"
"Association d'Outremont du Parti Vert du Canada"
"Association de circonscription du Bloc Québécois de Gatineau"
"Association de circonscription du Bloc Québécois de Québec"
"Association de circonscription du Bloc Québécois Montcalm"
"Association de circonscription Gaspésie--Îles-de-la-Madeleine"
"Association de circonscription NPD de Bas-Richelieu--Nicolet--Bécancour"
"Association de circonscription NPD de Beauport--Limoilou"
"Association de circonscription NPD de Berthier--Maskinongé"
"Association de circonscription NPD de Brome--Missisquoi"
"Association de circonscription NPD de Charlesbourg--Haute-Saint-Charles"
"Association de circonscription NPD de Châteauguay--Saint-Constant"
"Association de circonscription NPD de Drummond"
"Association de circonscription NPD de Honoré--Mercier"
"Association de circonscription NPD de Mont-Royal"
"Association de circonscription NPD de Repentigny"
"Association de Lévis--Bellechasse du Parti Vert du Canada"
"Association de Québec du Parti Vert du Canada"
"Association de Saint-Hyacinthe--Bagot du Parti Vert du Canada"
"Association de Trois-Rivières du Parti Vert du Canada"
"Association de Vaudreuil--Soulanges du Parti Vert du Canada"
"Association du Bloc Québécois d'Abitibi--Baie-James--Nunavik--Eeyou"
"Association du Bloc Québécois d'Argenteuil--Papineau--Mirabel"
"Association du Bloc Québécois de Chambly--Borduas"
"Association du Bloc Québécois de Charlesbourg--Haute-Saint-Charles"
"Association du Bloc Québécois de Châteauguay--Saint-Constant"
"Association du Bloc Québécois de Haute-Gaspésie--La Mitis--Matane--Matapédia"
"Association du Bloc Québécois de Hull--Aylmer"
"Association du Bloc Québécois de Jeanne-Le Ber"
"Association du Bloc Québécois de la circonscription de Trois-Rivières"
"Association du Bloc Québécois de Laurier--Sainte-Marie"
"Association du Bloc Québécois de Lotbinière--Chutes-de-la-Chaudière"
"Association du Bloc Québécois de Montmorency--Charlevoix--Haute-Côte-Nord"
"Association du Bloc Québécois de Rosemont--La Petite-Patrie"
"Association du Bloc Québécois de Shefford"
"Association du Bloc Québécois Laurentides--Labelle"
"Association du Bloc Québécois Verchères--Les Patriotes"
"Association du Parti conservateur Abitibi--Témiscamingue"
"Association du Parti conservateur Ahuntsic"
"Association du Parti conservateur Alfred-Pellan"
"Association du Parti conservateur Argenteuil--Papineau--Mirabel"
"Association du Parti conservateur Berthier--Maskinongé"
"Association du Parti conservateur Bourassa"
"Association du Parti conservateur Brossard--La Prairie"
"Association du Parti conservateur Châteauguay--Saint-Constant"
"Association du Parti conservateur de Bas-Richelieu--Nicolet--Bécancour"
"Association du Parti conservateur de Beauce"
"Association du Parti conservateur de la Haute-Gaspésie--La Mitis--Matane--Matapédia"
"Association du Parti conservateur Drummond"
"Association du Parti conservateur Gaspésie--Îles-de-la-Madeleine"
"Association du Parti conservateur Hull--Aylmer"
"Association du Parti conservateur Joliette"
"Association du Parti conservateur Jonquière--Alma"
"Association du Parti conservateur LaSalle--Émard"
"Association du Parti conservateur Laurentides--Labelle"
"Association du Parti conservateur Laurier--Sainte-Marie"
"Association du Parti conservateur Laval"
"Association du Parti conservateur Lévis--Bellechasse"
"Association du Parti conservateur Louis-Saint-Laurent"
"Association du Parti conservateur Mégantic--L'Érable"
"Association du Parti conservateur Montcalm"
"Association du Parti conservateur Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"
"Association du Parti conservateur Notre-Dame-de-Grâce--Lachine"
"Association du Parti conservateur Portneuf--Jacques-Cartier"
"Association du Parti conservateur Rimouski-Neigette--Témiscouata--Les Basques"
"Association du Parti conservateur Roberval--Lac-Saint-Jean"
"Association du Parti conservateur Terrebonne--Blainville"
"Association du Parti conservateur Verchères--Les Patriotes"
"Association du Parti Vert d'Acadie--Bathurst"
"Association du Parti Vert du Canada de Chambly--Borduas"
"Association du Parti Vert du Canada de Joliette"
"Association du Parti Vert du Canada de Laval--Les Îles"
"Association du Parti Vert du Canada de Repentigny"
"Association fédérale du Parti Vert du Canada de la circonscription de Saint-Jean"
"Association fédérale du Parti Vert du Canada de la circonscription de Sherbrooke"
"Association fédérale du Parti Vert du Canada de la Haute-Gaspésie--La Mitis--Matane--Matapédia"
"Association libérale fédérale d'Abitibi--Baie-James--Nunavik--Eeyou"
"Association libérale fédérale d'Abitibi--Témiscamingue"
"Association libérale fédérale d'Alfred-Pellan"
"Association libérale fédérale d'Argenteuil--Papineau--Mirabel"
"Association libérale fédérale d'Outremont"
"Association libérale fédérale de Bas-Richelieu--Nicolet--Bécancour"
"Association libérale fédérale de Beauce"
"Association libérale fédérale de Beauport--Limoilou"
"Association libérale fédérale de Chambly--Borduas"
"Association libérale fédérale de Charlesbourg--Haute-Saint-Charles"
"Association libérale fédérale de Drummond"
"Association libérale fédérale de Haute-Gaspésie--La Mitis--Matane--Matapédia"
"Association libérale fédérale de Jonquière--Alma"
"Association libérale fédérale de La Pointe-de-l'Île"
"Association libérale fédérale de Laurier--Sainte-Marie"
"Association libérale fédérale de Lotbinière--Chutes-de-la-Chaudière"
"Association libérale fédérale de Louis-Hébert"
"Association libérale fédérale de Louis-Saint-Laurent"
"Association libérale fédérale de Manicouagan"
"Association libérale fédérale de Marc-Aurèle-Fortin"
"Association libérale fédérale de Mégantic--L'Érable"
"Association libérale fédérale de Montcalm"
"Association libérale fédérale de Montmagny--L'Islet--Kamouraska--Rivière-du-Loup"
"Association libérale fédérale de Montmorency--Charlevoix--Haute-Côte-Nord"
"Association libérale fédérale de Papineau"
"Association libérale fédérale de Portneuf--Jacques-Cartier"
"Association libérale fédérale de Richmond--Arthabaska"
"Association libérale fédérale de Rimouski--Neigette--Témiscouata--Les Basques"
"Association libérale fédérale de Rivière-du-Nord"
"Association libérale fédérale de Saint-Bruno--Saint-Hubert"
"Association libérale fédérale de Saint-Hyacinthe--Bagot"
"Association libérale fédérale de Saint-Jean"
"Association libérale fédérale de Saint-Lambert"
"Association libérale fédérale de Saint-Laurent--Cartierville"
"Association libérale fédérale de Saint-Maurice--Champlain"
"Association libérale fédérale de Trois-Rivières"
"Association libérale fédérale du comté de Québec"
"Association libérale fédérale du comté Roberval--Lac-Saint-Jean"
